id,year,doy,TEM,DALEC,TECO,FBDC,CASA,CENTURY,CLM,ORCHIDEE
0,2015,1,1.087337435,1.061867024,1.061878695,1.061874985,1.087355345,1.087341098,1.061887918,1.061877164
1,2015,2,1.087337435,1.060997827,1.061009473,1.061005769,1.087355345,1.087341098,1.061018677,1.061007944
2,2015,3,1.087337435,1.060895324,1.06090695,1.060903252,1.087355345,1.087341098,1.06091614,1.060905423
3,2015,4,1.087337435,1.061531771,1.061543383,1.061539688,1.087355345,1.087341098,1.061552565,1.061541858
4,2015,5,1.087337435,1.062408711,1.06242031,1.062416618,1.087355345,1.087341098,1.062429484,1.062418786
5,2015,6,1.087337435,1.063305641,1.063317225,1.063313536,1.087355345,1.087341098,1.06332639,1.063315702
6,2015,7,1.087337435,1.064150183,1.064161748,1.064158063,1.087355345,1.087341098,1.064170902,1.064160227
7,2015,8,1.087337435,1.065009666,1.06502121,1.06501753,1.087355345,1.087341098,1.065030352,1.065019691
8,2015,9,1.087337435,1.065833012,1.065844534,1.065840858,1.087355345,1.087341098,1.065853662,1.065843016
9,2015,10,1.087337435,1.067705403,1.06771691,1.067713237,1.087355345,1.087341098,1.067726032,1.067715394
10,2015,11,1.087337435,1.068192656,1.068204132,1.068200466,1.087355345,1.087341098,1.068213234,1.068202618
11,2015,12,1.087337435,1.068634512,1.068645953,1.068642295,1.087355345,1.087341098,1.068655033,1.068644443
12,2015,13,1.087337435,1.069176233,1.069187638,1.069183989,1.087355345,1.087341098,1.069196697,1.069186132
13,2015,14,1.087337435,1.069589694,1.06960106,1.06959742,1.087355345,1.087341098,1.069610094,1.069599557
14,2015,15,1.087337435,1.070037584,1.070048909,1.070045279,1.087355345,1.087341098,1.070057917,1.07004741
15,2015,16,1.087337435,1.070493539,1.07050482,1.0705012,1.087355345,1.087341098,1.070513801,1.070503325
16,2015,17,1.087337435,1.070949234,1.070960469,1.07095686,1.087355345,1.087341098,1.070969422,1.070958979
17,2015,18,1.087337435,1.071422118,1.071433305,1.071429708,1.087355345,1.087341098,1.071442228,1.07143182
18,2015,19,1.087337435,1.071924943,1.07193608,1.071932494,1.087355345,1.087341098,1.071944972,1.071934599
